date,state_code
2020-04-19,nh
2020-04-19,nj
2020-04-19,nm
2020-04-19,nv
2020-04-19,ny
2020-04-19,oh
2020-04-19,ok
2020-04-19,or
2020-04-19,pa
2020-04-19,ri
2020-04-19,sc
2020-04-19,sd
2020-04-19,tn
2020-04-19,tx
2020-04-19,ut
2020-04-19,va
2020-04-19,vt
2020-04-19,wa
2020-04-19,wi
2020-04-19,wv
2020-04-19,wy
2020-04-20,ak
2020-04-20,al
2020-04-20,ar
2020-04-20,az
2020-04-20,ca
2020-04-20,co
2020-04-20,ct
2020-04-20,dc
2020-04-20,de
2020-04-20,fl
2020-04-20,ga
2020-04-20,hi
2020-04-20,ia
2020-04-20,id
2020-04-20,il
2020-04-20,in
2020-04-20,ks
2020-04-20,ky
2020-04-20,la
2020-04-20,ma
2020-04-20,md
2020-04-20,me
2020-04-20,mi
2020-04-20,mn
2020-04-20,mo
2020-04-20,ms
2020-04-20,mt
2020-04-20,nc
2020-04-20,nd
2020-04-20,ne
2020-04-20,nh
2020-04-20,nj
2020-04-20,nm
2020-04-20,nv
2020-04-20,ny
2020-04-20,oh
2020-04-20,ok
2020-04-20,or
2020-04-20,pa
2020-04-20,ri
2020-04-20,sc
2020-04-20,sd
2020-04-20,tn
2020-04-20,tx
2020-04-20,ut
2020-04-20,va
2020-04-20,vt
2020-04-20,wa
2020-04-20,wi
2020-04-20,wv
2020-04-20,wy
2020-04-21,ak
2020-04-21,al
2020-04-21,ar
2020-04-21,az
2020-04-21,ca
2020-04-21,co
2020-04-21,ct
2020-04-21,dc
2020-04-21,de
2020-04-21,fl
2020-04-21,ga
2020-04-21,hi
2020-04-21,ia
2020-04-21,id
2020-04-21,il
2020-04-21,in
2020-04-21,ks
2020-04-21,ky
2020-04-21,la
2020-04-21,ma
2020-04-21,md
2020-04-21,me
2020-04-21,mi
2020-04-21,mn
2020-04-21,mo
2020-04-21,ms
2020-04-21,mt
2020-04-21,nc
2020-04-21,nd
2020-04-21,ne
2020-04-21,nh
2020-04-21,nj
2020-04-21,nm
2020-04-21,nv
2020-04-21,ny
2020-04-21,oh
2020-04-21,ok
2020-04-21,or
2020-04-21,pa
2020-04-21,ri
2020-04-21,sc
2020-04-21,sd
2020-04-21,tn
2020-04-21,tx
2020-04-21,ut
2020-04-21,va
2020-04-21,vt
2020-04-21,wa
2020-04-21,wi
2020-04-21,wv
2020-04-21,wy
2020-04-22,ak
2020-04-22,al
2020-04-22,ar
2020-04-22,az
2020-04-22,ca
2020-04-22,co
2020-04-22,ct
2020-04-22,dc
2020-04-22,de
2020-04-22,fl
2020-04-22,ga
2020-04-22,hi
2020-04-22,ia
2020-04-22,id
2020-04-22,il
2020-04-22,in
2020-04-22,ks
2020-04-22,ky
2020-04-22,la
2020-04-22,ma
2020-04-22,md
2020-04-22,me
2020-04-22,mi
2020-04-22,mn
2020-04-22,mo
2020-04-22,ms
2020-04-22,mt
2020-04-22,nc
2020-04-22,nd
2020-04-22,ne
2020-04-22,nh
2020-04-22,nj
2020-04-22,nm
2020-04-22,nv
2020-04-22,ny
2020-04-22,oh
2020-04-22,ok
2020-04-22,or
2020-04-22,pa
2020-04-22,ri
2020-04-22,sc
2020-04-22,sd
2020-04-22,tn
2020-04-22,tx
2020-04-22,ut
2020-04-22,va
2020-04-22,vt
2020-04-22,wa
2020-04-22,wi
2020-04-22,wv
2020-04-22,wy
2020-04-23,ak
2020-04-23,al
2020-04-23,ar
2020-04-23,az
2020-04-23,ca
2020-04-23,co
2020-04-23,ct
2020-04-23,dc
2020-04-23,de
2020-04-23,fl
2020-04-23,ga
2020-04-23,hi
2020-04-23,ia
2020-04-23,id
2020-04-23,il
2020-04-23,in
2020-04-23,ks
2020-04-23,ky
2020-04-23,la
2020-04-23,ma
2020-04-23,md
2020-04-23,me
2020-04-23,mi
2020-04-23,mn
2020-04-23,mo
2020-04-23,ms
2020-04-23,mt
2020-04-23,nc
2020-04-23,nd
2020-04-23,ne
2020-04-23,nh
2020-04-23,nj
2020-04-23,nm
2020-04-23,nv
2020-04-23,ny
2020-04-23,oh
2020-04-23,ok
2020-04-23,or
2020-04-23,pa
2020-04-23,ri
2020-04-23,sc
2020-04-23,sd
2020-04-23,tn
2020-04-23,tx
2020-04-23,ut
2020-04-23,va
2020-04-23,vt
2020-04-23,wa
2020-04-23,wi
2020-04-23,wv
2020-04-23,wy
2020-04-24,ak
2020-04-24,al
2020-04-24,ar
2020-04-24,az
2020-04-24,ca
2020-04-24,co
2020-04-24,ct
2020-04-24,dc
2020-04-24,de
2020-04-24,fl
2020-04-24,ga
2020-04-24,hi
2020-04-24,ia
2020-04-24,id
2020-04-24,il
2020-04-24,in
2020-04-24,ks
2020-04-24,ky
2020-04-24,la
2020-04-24,ma
2020-04-24,md
2020-04-24,me
2020-04-24,mi
2020-04-24,mn
2020-04-24,mo
2020-04-24,ms
2020-04-24,mt
2020-04-24,nc
2020-04-24,nd
2020-04-24,ne
2020-04-24,nh
2020-04-24,nj
2020-04-24,nm
2020-04-24,nv
2020-04-24,ny
2020-04-24,oh
2020-04-24,ok
2020-04-24,or
2020-04-24,pa
2020-04-24,ri
2020-04-24,sc
2020-04-24,sd
2020-04-24,tn
2020-04-24,tx
2020-04-24,ut
2020-04-24,va
2020-04-24,vt
2020-04-24,wa
2020-04-24,wi
2020-04-24,wv
2020-04-24,wy
2020-04-25,ak
2020-04-25,al
2020-04-25,ar
2020-04-25,az
2020-04-25,ca
2020-04-25,co
2020-04-25,ct
2020-04-25,dc
2020-04-25,de
2020-04-25,fl
2020-04-25,ga
2020-04-25,hi
2020-04-25,ia
2020-04-25,id
2020-04-25,il
2020-04-25,in
2020-04-25,ks
2020-04-25,ky
2020-04-25,la
2020-04-25,ma
2020-04-25,md
2020-04-25,me
2020-04-25,mi
2020-04-25,mn
2020-04-25,mo
2020-04-25,ms
2020-04-25,mt
2020-04-25,nc
2020-04-25,nd
2020-04-25,ne
2020-04-25,nh
2020-04-25,nj
2020-04-25,nm
2020-04-25,nv
2020-04-25,ny
2020-04-25,oh
2020-04-25,ok
2020-04-25,or
2020-04-25,pa
2020-04-25,ri
2020-04-25,sc
2020-04-25,sd
2020-04-25,tn
2020-04-25,tx
2020-04-25,ut
2020-04-25,va
2020-04-25,vt
2020-04-25,wa
2020-04-25,wi
2020-04-25,wv
2020-04-25,wy
2020-04-26,ak
2020-04-26,al
2020-04-26,ar
2020-04-26,az
2020-04-26,ca
2020-04-26,co
2020-04-26,ct
2020-04-26,dc
2020-04-26,de
2020-04-26,fl
2020-04-26,ga
2020-04-26,hi
2020-04-26,ia
2020-04-26,id
2020-04-26,il
2020-04-26,in
2020-04-26,ks
2020-04-26,ky
2020-04-26,la
2020-04-26,ma
2020-04-26,md
2020-04-26,me
2020-04-26,mi
2020-04-26,mn
2020-04-26,mo
2020-04-26,ms
2020-04-26,mt
2020-04-26,nc
2020-04-26,nd
2020-04-26,ne
2020-04-26,nh
2020-04-26,nj
2020-04-26,nm
2020-04-26,nv
2020-04-26,ny
2020-04-26,oh
2020-04-26,ok
2020-04-26,or
2020-04-26,pa
2020-04-26,ri
2020-04-26,sc
2020-04-26,sd
2020-04-26,tn
2020-04-26,tx
2020-04-26,ut
2020-04-26,va
2020-04-26,vt
2020-04-26,wa
2020-04-26,wi
2020-04-26,wv
2020-04-26,wy
2020-04-27,ak
2020-04-27,al
2020-04-27,ar
2020-04-27,az
2020-04-27,ca
2020-04-27,co
2020-04-27,ct
2020-04-27,dc
2020-04-27,de
2020-04-27,fl
2020-04-27,ga
2020-04-27,hi
2020-04-27,ia
2020-04-27,id
2020-04-27,il
2020-04-27,in
2020-04-27,ks
2020-04-27,ky
2020-04-27,la
2020-04-27,ma
2020-04-27,md
2020-04-27,me
2020-04-27,mi
2020-04-27,mn
2020-04-27,mo
2020-04-27,ms
2020-04-27,mt
2020-04-27,nc
2020-04-27,nd
2020-04-27,ne
2020-04-27,nh
2020-04-27,nj
2020-04-27,nm
2020-04-27,nv
2020-04-27,ny
2020-04-27,oh
2020-04-27,ok
2020-04-27,or
2020-04-27,pa
2020-04-27,ri
2020-04-27,sc
2020-04-27,sd
2020-04-27,tn
2020-04-27,tx
2020-04-27,ut
2020-04-27,va
2020-04-27,vt
2020-04-27,wa
2020-04-27,wi
2020-04-27,wv
2020-04-27,wy
2020-04-28,ak
2020-04-28,al
2020-04-28,ar
2020-04-28,az
2020-04-28,ca
2020-04-28,co
2020-04-28,ct
2020-04-28,dc
2020-04-28,de
2020-04-28,fl
2020-04-28,ga
2020-04-28,hi
2020-04-28,ia
2020-04-28,id
2020-04-28,il
2020-04-28,in
2020-04-28,ks
2020-04-28,ky
2020-04-28,la
2020-04-28,ma
2020-04-28,md
2020-04-28,me
2020-04-28,mi
2020-04-28,mn
2020-04-28,mo
2020-04-28,ms
2020-04-28,mt
2020-04-28,nc
2020-04-28,nd
2020-04-28,ne
2020-04-28,nh
2020-04-28,nj
2020-04-28,nm
2020-04-28,nv
